Submission No,Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
2615,"NeuroHub - Advanced Data and Computational Infrastructure for Collaborative, Reproducible Research",Bryan Caron,,20210623,160000,20210623,170000,poster2615,AmericasEurope,Poster,,poster2615AmericasEurope
2615,"NeuroHub - Advanced Data and Computational Infrastructure for Collaborative, Reproducible Research",Bryan Caron,,20210625,0,20210625,10000,poster2615,AmericasAsia,Poster,,poster2615AmericasAsia
2615,"NeuroHub - Advanced Data and Computational Infrastructure for Collaborative, Reproducible Research",Bryan Caron,,20210622,80000,20210622,100000,poster2615,EuropeAsia,Poster,,poster2615EuropeAsia
2164,Population-based sex differences in stroke lesion connectivity,Anna Bonkhoff,,20210621,160000,20210621,170000,poster2164,AmericasEurope,Poster,,poster2164AmericasEurope
2164,Population-based sex differences in stroke lesion connectivity,Anna Bonkhoff,,20210623,0,20210623,10000,poster2164,AmericasAsia,Poster,,poster2164AmericasAsia
2164,Population-based sex differences in stroke lesion connectivity,Anna Bonkhoff,,20210624,80000,20210624,100000,poster2164,EuropeAsia,Poster,,poster2164EuropeAsia
1940,Pulvinar plasticity gates inhibitory processing in visual cortex for perceptual learning,Joseph Ziminski,,20210625,160000,20210625,170000,poster1940,AmericasEurope,Poster,,poster1940AmericasEurope
1940,Pulvinar plasticity gates inhibitory processing in visual cortex for perceptual learning,Joseph Ziminski,,20210624,0,20210624,10000,poster1940,AmericasAsia,Poster,,poster1940AmericasAsia
1940,Pulvinar plasticity gates inhibitory processing in visual cortex for perceptual learning,Joseph Ziminski,,20210622,80000,20210622,100000,poster1940,EuropeAsia,Poster,,poster1940EuropeAsia
1160,Real-time fNIRS neurofeedback improves eating behavior and cognitive function in overweight subjects,Shuai Lv,,20210622,160000,20210622,170000,poster1160,AmericasEurope,Poster,,poster1160AmericasEurope
1160,Real-time fNIRS neurofeedback improves eating behavior and cognitive function in overweight subjects,Shuai Lv,,20210626,0,20210626,10000,poster1160,AmericasAsia,Poster,,poster1160AmericasAsia
1160,Real-time fNIRS neurofeedback improves eating behavior and cognitive function in overweight subjects,Shuai Lv,,20210624,80000,20210624,100000,poster1160,EuropeAsia,Poster,,poster1160EuropeAsia
2299,Relaxometric Alterations in Subcortical Structures of Patients with Psychotic Spectrum Disorders,Yu Veronica Sui,,20210623,160000,20210623,170000,poster2299,AmericasEurope,Poster,,poster2299AmericasEurope
2299,Relaxometric Alterations in Subcortical Structures of Patients with Psychotic Spectrum Disorders,Yu Veronica Sui,,20210626,0,20210626,10000,poster2299,AmericasAsia,Poster,,poster2299AmericasAsia
2299,Relaxometric Alterations in Subcortical Structures of Patients with Psychotic Spectrum Disorders,Yu Veronica Sui,,20210622,80000,20210622,100000,poster2299,EuropeAsia,Poster,,poster2299EuropeAsia
1276,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker,Shile Qi,,20210623,160000,20210623,170000,poster1276,AmericasEurope,Poster,,poster1276AmericasEurope
1276,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker,Shile Qi,,20210625,0,20210625,10000,poster1276,AmericasAsia,Poster,,poster1276AmericasAsia
1276,Reward Processing in Novelty Seekers: A Transdiagnostic Psychiatric Imaging Biomarker,Shile Qi,,20210622,80000,20210622,100000,poster1276,EuropeAsia,Poster,,poster1276EuropeAsia
2443,Spontaneous global brain events marked by sequenced cascades of spiking neurons,Xiao Liu,,20210625,160000,20210625,170000,poster2443,AmericasEurope,Poster,,poster2443AmericasEurope
2443,Spontaneous global brain events marked by sequenced cascades of spiking neurons,Xiao Liu,,20210625,0,20210625,10000,poster2443,AmericasAsia,Poster,,poster2443AmericasAsia
