Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
The Virtual Brain simulation platform: Inferring principles of network interactions underlying cognition,Petra Ritter,,20210601,192404,20210601,195348,netneuro,AmericasEurope,CourseVideo,752a0bf0-bd82-11eb-ae6f-1e00b921e125,
NetNeuro course II: interactive session,NetNeuro team,,20210601,200000,20210601,210000,netneuro,AmericasEurope,Roundtables,752a60a8-bd82-11eb-bb61-1e00b921e125,
Parcellation course: welcome AmericasAsia,Catherine Lebel,,20210602,233000,20210602,234000,parcellation,AmericasAsia,Announcements,752ab386-bd82-11eb-87b2-1e00b921e125,
Introduction to the course,Michel Thiebaut de Schotten,,20210602,234000,20210602,234636,parcellation,AmericasAsia,CourseVideo,752b05fa-bd82-11eb-a522-1e00b921e125,
Brain variability parcellation,Stephanie Forkel,,20210602,234636,20210603,212,parcellation,AmericasAsia,CourseVideo,752b57da-bd82-11eb-93ea-1e00b921e125,
Structural connectivity parcellation,Saad Jbabdi,,20210603,212,20210603,3614,parcellation,AmericasAsia,CourseVideo,752ba8de-bd82-11eb-9d81-1e00b921e125,
Machine learning versus statistics in brain parcellation,Danilo Bzdock,,20210603,3614,20210603,5650,parcellation,AmericasAsia,CourseVideo,752bf8e8-bd82-11eb-8dad-1e00b921e125,
Functional connectivity-based parcellation,Ruby Kong,,20210603,12000,20210603,14639,parcellation,AmericasAsia,CourseVideo,752c491a-bd82-11eb-a98d-1e00b921e125,
Microstructural cortical parcellation and connectivity,Svenia Casper,,20210603,14639,20210603,21418,parcellation,AmericasAsia,CourseVideo,752c9974-bd82-11eb-b79a-1e00b921e125,
Parcellating the white matter with functional neuroimaging,Michel Thiebaut de Schotten,,20210603,21418,20210603,23844,parcellation,AmericasAsia,CourseVideo,752ce992-bd82-11eb-9a63-1e00b921e125,
Parcellation course: interactive session,Parcellation team,,20210603,30000,20210603,40000,parcellation,AmericasAsia,Roundtables,752d3c1c-bd82-11eb-a7be-1e00b921e125,
Parcellation course: welcome AmericasEurope,Catherine Lebel,,20210602,153000,20210602,154000,parcellation,AmericasEurope,Announcements,752d8e38-bd82-11eb-85dd-1e00b921e125,
Introduction to the course,Michel Thiebaut de Schotten,,20210602,154000,20210602,154636,parcellation,AmericasEurope,CourseVideo,752ddf28-bd82-11eb-8263-1e00b921e125,
Brain variability parcellation,Stephanie Forkel,,20210602,154636,20210602,160212,parcellation,AmericasEurope,CourseVideo,752e2ee2-bd82-11eb-bac8-1e00b921e125,
Structural connectivity parcellation,Saad Jbabdi,,20210602,160212,20210602,163614,parcellation,AmericasEurope,CourseVideo,752e823e-bd82-11eb-8439-1e00b921e125,
Machine learning versus statistics in brain parcellation,Danilo Bzdock,,20210602,163614,20210602,165650,parcellation,AmericasEurope,CourseVideo,752ed46e-bd82-11eb-8a62-1e00b921e125,
Functional connectivity-based parcellation,Ruby Kong,,20210602,172000,20210602,174639,parcellation,AmericasEurope,CourseVideo,752f25fe-bd82-11eb-8238-1e00b921e125,
Microstructural cortical parcellation and connectivity,Svenia Casper,,20210602,174639,20210602,181418,parcellation,AmericasEurope,CourseVideo,752f76da-bd82-11eb-b141-1e00b921e125,
Parcellating the white matter with functional neuroimaging,Michel Thiebaut de Schotten,,20210602,181418,20210602,183844,parcellation,AmericasEurope,CourseVideo,752fc7ca-bd82-11eb-a85a-1e00b921e125,
Parcellation course: interactive session,Parcellation team,,20210602,190000,20210602,200000,parcellation,AmericasEurope,Roundtables,75301950-bd82-11eb-9c5d-1e00b921e125,
Tractometry course: welcome AmericasAsia,Adeel Razi,,20210603,3000,20210603,4000,tractometry,AmericasAsia,Announcements,75306a40-bd82-11eb-8c34-1e00b921e125,
Introduction to the course,Catherine Lebel,,20210603,4000,20210603,4513,tractometry,AmericasAsia,CourseVideo,7530bb62-bd82-11eb-9381-1e00b921e125,
,Ariel Rokem,,20210603,4513,20210603,11150,tractometry,AmericasAsia,CourseVideo,75310c5c-bd82-11eb-a5e4-1e00b921e125,
From tracts to bundles (Tracula and clustering),Anastasia Yendiki,,20210603,11150,20210603,13210,tractometry,AmericasAsia,CourseVideo,75315d62-bd82-11eb-bff8-1e00b921e125,
New Tractography Modalities Beyond Pathway Mapping,Fang-Cheng Yeh,,20210603,13210,20210603,15346,tractometry,AmericasAsia,CourseVideo,7531aec8-bd82-11eb-b605-1e00b921e125,
Challenges with the interpretation of fiber density metrics,Thijs Dhollander,,20210603,21000,20210603,23551,tractometry,AmericasAsia,CourseVideo,75320026-bd82-11eb-adc9-1e00b921e125,
Applications of tractometry to high-level cognition,Michal Ben-Shachar,,20210603,23551,20210603,25232,tractometry,AmericasAsia,CourseVideo,75325170-bd82-11eb-9452-1e00b921e125,
Single-subject analysis via high-dimensional analysis,Maxime Chamberland,,20210603,25232,20210603,31134,tractometry,AmericasAsia,CourseVideo,7532a210-bd82-11eb-a990-1e00b921e125,
Applications of tractomtery to brain development,Sila Genc,,20210603,31134,20210603,34403,tractometry,AmericasAsia,CourseVideo,7533099e-bd82-11eb-bb81-1e00b921e125,
Tractometry course: interactive session,Tractometry team,,20210603,40000,20210603,50000,tractometry,AmericasAsia,Roundtables,75335a66-bd82-11eb-8282-1e00b921e125,
Tractometry course: welcome AmericasEurope,Adeel Razi,,20210602,163000,20210602,164000,tractometry,AmericasEurope,Announcements,7533aad4-bd82-11eb-b3ce-1e00b921e125,
Introduction to the course,Catherine Lebel,,20210602,164000,20210602,164513,tractometry,AmericasEurope,CourseVideo,7533fade-bd82-11eb-aa3a-1e00b921e125,
,Ariel Rokem,,20210602,164513,20210602,171150,tractometry,AmericasEurope,CourseVideo,75344b06-bd82-11eb-b16d-1e00b921e125,
From tracts to bundles (Tracula and clustering),Anastasia Yendiki,,20210602,171150,20210602,173210,tractometry,AmericasEurope,CourseVideo,75349b2e-bd82-11eb-9c35-1e00b921e125,
New Tractography Modalities Beyond Pathway Mapping,Fang-Cheng Yeh,,20210602,173210,20210602,175346,tractometry,AmericasEurope,CourseVideo,7534eafa-bd82-11eb-b111-1e00b921e125,
Challenges with the interpretation of fiber density metrics,Thijs Dhollander,,20210602,181000,20210602,183551,tractometry,AmericasEurope,CourseVideo,75353ce6-bd82-11eb-aaf9-1e00b921e125,
Applications of tractometry to high-level cognition,Michal Ben-Shachar,,20210602,183551,20210602,185232,tractometry,AmericasEurope,CourseVideo,75358d54-bd82-11eb-92b4-1e00b921e125,
Single-subject analysis via high-dimensional analysis,Maxime Chamberland,,20210602,185232,20210602,191134,tractometry,AmericasEurope,CourseVideo,7535dd68-bd82-11eb-aeda-1e00b921e125,
